id,barcode,name,price,stock,description,purchasePrice,categoryId,wholesaPrice,howToSell,isActive,entry,output,imgUrl,stocktaking,minimumstock
30,100,Impresion Hp 4 Pro 8610,4,999376,Impresora Hp Officejet Pro 8610,0,8,3.2,Unidad,1,0,0,default.png,1,1
31,101,Impresion Hp 5  Pro 8610,5,998832,Impresora Hp Officejet Pro 8610,0,8,4,Unidad,1,0,0,default.png,1,1
32,102,Impresion Hp 6 Pro 8610,6,999886,Impresora Hp Officejet Pro 8610,0,8,4.8,Unidad,1,0,0,default.png,1,1
33,103,Impresion Hp 7  Pro 8610,7,999897,Impresora Hp Officejet Pro 8610,0,8,5.6,Unidad,1,0,0,default.png,1,1
34,104,Impresion Hp 8 Pro 8610,8,999920,Impresora Hp Officejet Pro 8610,0,8,6.4,Unidad,1,0,0,default.png,1,1
35,105,Impresion Hp 9 Pro 8610,9,999959,Impresora Hp Officejet Pro 8610,0,8,7.2,Unidad,1,0,0,default.png,1,1
36,106,Impresion Hp 10  Pro 8610,10,999681,Impresora Hp Officejet Pro 8610,0,8,8,Unidad,1,0,0,default.png,1,1
37,107,Copia Hp 1.5  Pro 8610,1.5,997805,Impresora Hp Officejet Pro 8610,0,4,1.2,Unidad,1,0,0,default.png,1,1
38,108,Copia Hp 2  Pro 8610,2,993893,Impresora Hp Officejet Pro 8610,0,4,1.6,Unidad,1,0,0,default.png,1,1
39,7.501E+12,Bran friut,6,0,bimbo,4.58,1,4.8,Unidad,1,0,0,default.png,1,1
40,5000,No usar,0,0,No usar,2.75,5,0,Unidad,1,0,0,default.png,1,1
